"BillableHoursAmount","StaffAbbreviation","BillableHoursDate","MatterName"
"1.5","RAW","2022-06-17","PERSIMMON PARTNERS LLC - General 10583.000"
"1.8","JSM","2021-09-23","Suite T, LLC - General 10139.000"
"0.3","RAW","2025-02-18","WD PICKLEBALL, LLC - General 11134.000"
"1.5","TGF","2023-09-13","New Files Holding 10000.000"
"3.4","AEZ","2019-11-22","Mar-K Specialized Mfg., Inc. - Greg Davis 10005.001"
"0.8","RAW","2023-01-27","Paragon Land Clearing Services LLC - Company Formation 10847.001"
"0.5","RAW","2023-08-10","amshot LLC - General 10132.000"
"0.5","AEZ","2020-06-29","Shellback General Contracting Co. - Allstate Electrical 10057.003"
"1.3","BPL","2021-03-10","Last Brand, Inc. - Trademark Application Hourly 10296.005"
"0.1","AEZ","2024-09-27","Durant Mobile Home Park LLC v. Durant Mobile Park LLC, et al 11028.002"
"0.2","AEZ","2020-05-27","Creekside Village, L.P. - American Benefit Life Insurance Company 10197.001"
"5.2","JSM","2021-10-13","HiVolt Energy LLC - Security and Service Document Project 10200.002"
"0.9","RAW","2021-12-21","Compellier - GC2 General 10552.000"
"2.5","JER","2020-03-31","OZSOL, LLC - Lakeview Opportunity Zone 10272.001"
"1.3","JRJ","2023-09-20","Utex Industries Inc. - Hammerless Torqueless Connection Patent 10158.002"
"0.7","TRB","2022-08-16","ONEOK - General 10756.000"
"1.0","AEZ","2021-01-29","Radio & TV Experts, LLC - General 10007.000"
"5.2","DAC","2019-11-15","Tribune Capital LLC - Ashley Park 10116.001"
"2.9","RAW","2021-07-12","MARTINIQUE HOLDINGS LLC - Company Formation 10575.001"
"0.5","BPL","2024-04-16","84HG LLC - General 10597.000"
"1.2","JER","2019-10-29","Western Flyer Express LLC - General 10125.000"
"0.2","AEZ","2025-02-24","Lagunita Franchise Operations, LLC - Marco Smith claim 11135.001"
"0.2","AEZ","2023-02-21","OROKC, LLC - Operating and Employment Agreements 10865.001"
"0.1","AEZ","2024-11-13","Durant Mobile  Park, LLC - Book and Mankin Fiduciary Claims 11028.001"
"0.6","ERH","2022-11-10","SKYLINE ENTERTAINMENT LLC - General 10412.000"
"1.7","JRJ","2023-04-21","Patrick McKenzie Ministries Inc. - Lit DEF - Dept. of Education Suit 10608.001"
"0.2","JRJ","2023-01-24","Darby, Gina - Dept of Education Action Corrected 10776.002"
"0.3","CAJ","2024-09-12","WDCO NYC 001 LLC - General 10572.000"
"1.5","RAW","2021-10-20","WDCO NYC 001 LLC - General 10572.000"
"2.9","RAW","2021-09-13","JCE Developments LLC - HOA and Covenants 10429.004"
"0.4","AEZ","2020-08-06","Medley Material Handling, Inc. - Consulting 10175.001"
"1.9","RAW","2021-04-19","WD LOFT LLC - General 10461.000"
"0.3","JRJ","2019-10-30","Moore Primary Care Inc. - Contract Termination 10070.003"
"0.6","RAW","2020-06-25","Bismarck Renaissance LLC - Company Formation 10259.000"
"0.3","ERH","2020-10-29","PD-Rx Pharmaceuticals, Inc. - General 10081.000"
"1.6","DAC","2020-09-11","Dental Depot - Corporate General 10046.000"
"0.2","AEZ","2024-10-02","Radio & TV Experts, LLC - General 10007.000"
"1.5","JER","2022-12-22","WDCO VENTURES LLC - General 10648.000"
"0.1","AEZ","2019-12-23","Medley Material Handling, Inc. - Consulting 10175.001"
"7.3","JRJ","2022-08-12","Homestead Medical Clinic - Telligen Letter DO NOT BILL 10066.003"
"0.8","ERH","2023-01-17","Lil' Jay Child Development Center LLC - Dept Edu Lit 10628.001"
"3.5","JRJ","2024-08-06","Appraisal Shield - Utah Department of Commerce 10100.002"
"0.3","JRJ","2023-03-09","Allparts Music Corp. dba Walrus Audio - PHOENIX Trademark Application 10368.020"
"1.0","ERH","2023-05-12","Harveys13th LLC - SamHamilton Lease 10107.007"
"1.2","RAW","2020-10-30","WDCO BROADWAY LLC - Arsenault Purchase 10172.001"
"0.4","TRB","2021-11-23","WDCO NYC 001 LLC - Post Closing 10572.004"
"0.2","ERH","2020-03-10","Thompson, Colton - Estate of David Thompson 10047.001"
"1.3","AEZ","2020-12-18","Radio & TV Experts, LLC - General 10007.000"
"0.8","BPL","2021-12-17","eGravity Software Solutions - FLMIC Dispute 10235.003"
"2.0","TGF","2024-03-29","OL Brooks LLC - General 10691.000"
"6.3","JRJ","2022-04-20","Hurst v. Knauf 10028.001"
"2.5","JER","2021-05-21","Gupta, Siddhartha - Trust Formation 10428.002"
"1.2","JRJ","2020-06-11","Orange Leaf Holdings LLC - OSB Old School Bagel FDD 2020 10025.012"
"1.2","RAW","2023-01-30","EightTwenty Oklahoma LLC - General 10689.000"
"0.7","AEZ","2021-08-31","Hiley Acura of Fort Worth Texas - Sharifi v. Hiley Acura of Fort Worth Texas 10511.001"
"0.2","AEZ","2021-05-17","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"0.7","CAJ","2023-06-08","Paul Harvatin - General 10908.000"
"0.7","WMJ","2024-10-02","Excitant Therapeutics - General 10967.000"
"0.6","RAW","2021-01-06","ICS v. Noles, Jade 10026.001"
"0.9","RAW","2023-06-06","5ANDWAL, LLC - Operating Agreement 10839.001"
"1.3","DAC","2021-09-02","ICB PROPERTIES LLC - Elk Plaza Lien and Demand 10595.001"
"1.6","JRJ","2024-06-27","Whiteboard Technology LLC - General 10264.000"
"0.2","JRJ","2024-10-04","WDCO VENTURES LLC - General 10648.000"
"4.7","JRJ","2023-11-15","Darby, Gina - Dept of Education Action Corrected 10776.002"
"2.1","AEZ","2022-11-08","Holtkamp Petersen Enterprises, Inc. - Thompson 10797.001"
"1.0","ERH","2021-09-23","ATAD Investments, LLC - Oklahoma Registration 10363.003"
"0.3","AEZ","2021-10-14","Shellback General Contracting Co. - Allstate Electrical 10057.003"
"1.0","BPL","2022-03-07","Jasco Products Company, LLC - Electrical Plug 10038.049"
"1.3","TGF","2024-09-27","VonAllmen Capital Partners - Dever 10177.008"
"0.4","RAW","2021-08-25","First Security Bank - General 10248.000"
"1.5","JRJ","2021-12-07","GeoX Energy Inc - GC2 10191.005"
"4.5","JER","2020-12-19","EIGHTTWENTY OZ FUND LLC - FUND FORMATION 10414.001"
"0.2","RAW","2025-02-13","Taoshaus, LLC - General 10781.000"
"0.2","RAW","2019-10-22","Covell Partners LLC - General 10108.000"
"0.6","JSM","2022-04-18","U.S. Corporate Wellness, Inc - General 10269.001"
"2.8","JRJ","2024-09-27","Choncey Bradford - ODE litigation 10927.001"
"3.2","JRJ","2025-01-02","Darby, Gina - Dept of Education Action Corrected 10776.002"
"0.1","AEZ","2022-10-03","Hoss Directional Services, Inc. - John Williams Age Discrimination 10709.001"
"1.4","BPL","2022-07-14","The Children's Center - Bethany Children's Health Center - General 10397.002"
"0.1","AEZ","2019-11-07","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"1.1","BPL","2024-03-30","Triton Value Partners SW, LLC - GC2 10095.000"
"0.8","CNM","2022-08-02","Kirby - Smith Machinery, Inc. - General 10748.000"
"0.1","AEZ","2024-09-18","Lagunita Franchise Operations, LLC - Marco Smith claim 11135.001"
"1.6","RAW","2021-08-30","BRITTON FEED & SEED LLC - Lease with Purchase Option 10596.001"
"0.1","AEZ","2021-02-04","Courtney Maxwell v. Cheese, LLC, Skillet, LLC, FRA-19-08728 10358.001"
"0.3","RAW","2021-08-11","GIBRALTAR CAPITAL MGMT, INC - Doubletree Warren Place ABLE Application 10582.001"
"0.1","AEZ","2023-03-27","Switchgrass Holding LLC - Rachel Hollis FRA-18-07797 10120.001"
"0.3","AEZ","2021-10-20","Q.B. Johnson Manufacturing, Inc. re: Hector Romero 10138.001"
"0.1","AEZ","2021-02-19","Sturgeon v. Radio & TV Experts, LLC 10007.001"
"2.5","JER","2023-12-07","Triton Value Partners SW, LLC - GC2 10095.000"
"0.1","ERH","2020-11-11","Fowler, Mike and Carla - JDT Capital v. Fowler 10353.001"
"0.2","BPL","2024-12-26","Catalyst Outdoors - General 11081.000"
"0.1","AEZ","2019-11-19","UHS of Delaware, Inc., dba Horizon Mental Health Management, LLC - Regina Gower - 20195045 10009.002"
"2.5","AEZ","2023-12-11","Dulaney's, Inc. - Corporate 10204.001"
"0.3","RAW","2020-10-13","Dental Depot - Corporate General 10046.000"
"0.5","ERH","2022-10-13","FIRM 10000.001"
"0.5","CNM","2022-06-06","1710 ORR Hotel Investment LLC - Hilton Acquisition 10722.001"
"4.0","TGF","2024-10-28","Hoss Directional Services, Inc. - General 10709.000"
"1.2","BPL","2025-01-07","Tier 1 Cleaning Tools, LLC - General 10432.000"
"1.8","JER","2020-12-22","EIGHTTWENTY OZ FUND LLC - FUND FORMATION 10414.001"
"2.5","AEZ","2019-12-09","Radio & TV Experts, LLC - General 10007.000"
"1.4","CNM","2022-08-01","Last Brand, Inc. - General 10296.000"
"0.3","ERH","2023-07-28","Tribune Capital LLC - TC Tuscany Hills Opinion Letter 10116.014"
"0.3","RAW","2020-09-22","OSTEEN AND MINE LLC - Tapwerks Lease 10359.001"
"5.4","JRJ","2024-03-13","VANESSA HOUSE BEER COMPANY LLC v. City of OKC 10037.001"
"0.2","TRB","2020-07-21","Littlepage Group LLC - General 10293.000"
"0.1","AEZ","2021-04-26","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"2.1","BPL","2024-05-06","Thru Tubing Solutions - Impulse Solutions Patent Evaluation 11008.001"
"0.3","JRJ","2020-02-14","Utex Industries Inc. - Adjustable Expandable Spool Patent 10158.003"
"0.4","RAW","2022-03-03","WDCO Midtown LLC - General 10102.000"
"0.2","TRB","2022-05-11","Bismarck Renaissance LLC - General 10259.002"
"0.3","TRB","2020-11-18","1701 N Classen LLC 10202.000"
"0.5","TRB","2020-07-28","De Souza, Kelly MD - Employment Negotiation 10345.001"
"1.5","RAW","2021-02-08","Tulsa DT Hotel Investment, LLC - Tulsa DoubleTree  Acquisition 10447.002"
"0.5","CAJ","2024-08-12","Ascend Hospitality Group - GC2 10109.010"
"0.1","BPL","2022-02-28","Custom Wood Fibers - Cedar Bedding Continuation Patent 10024.002"
"2.0","JER","2019-10-01","Comma Insurance - Agency 3 10203.001"
"4.3","JRJ","2023-01-11","Lil' Jay Child Development Center LLC - Dept Edu Lit 10628.001"
"0.5","ERH","2024-04-19","Lighthouse of Hope - BOI Report Filing 11119.001"
"1.3","CAJ","2024-11-19","WDCO NYC 001 LLC - General 10572.000"
"1.4","JSM","2022-03-25","WDCO Midtown LLC - General 10102.000"
"0.5","BPL","2022-12-07","3.21 Tactical, LLC - Leggings Patent 10807.001"
"2.7","DAC","2021-05-10","Tulsa DT Hotel Investment, LLC - Tulsa DoubleTree  Acquisition 10447.002"
"0.2","RAW","2020-04-21","WDCO BROADWAY LLC - Arsenault Purchase 10172.001"
"5.3","CNM","2023-02-06","PRAIRIE NAV FUND - General 10764.000"
"1.0","ERH","2023-08-08","JRE GOLF CARS LLC - Opinion Letter 2023 10465.002"
"0.8","RAW","2022-01-07","HiVolt Energy LLC - Company Formation 10200.001"
"2.3","ERH","2023-12-20","WDCO VENTURES LLC - General 10648.000"
"0.1","AEZ","2021-12-06","UHS of Delaware, Inc., dba Horizon Mental Health Management, LLC - Karla Smith 10009.005"
"0.6","ERH","2024-05-10","Thu Tran - Insurance Demand Letter 11106.001"
"0.3","AEZ","2025-01-07","Lagunita Franchise Operations, LLC - Defense of Inspire Brands 11135.002"
"2.6","JSM","2022-01-21","STRUBLE PROPERTIES L.L.C. - Lease Agreement 10619.002"
"0.5","JSM","2023-04-05","STRUBLE PROPERTIES L.L.C. - General 10619.000"
"1.1","TRB","2023-08-21","Last Brand, Inc. - Logistics & Shipping 10296.026"
"0.1","AEZ","2020-06-11","Hurst v. Knauf 10028.001"
"0.4","RAW","2020-02-10","WDCO BROADWAY LLC - Arsenault Purchase 10172.001"
"2.2","JRJ","2022-03-03","VANESSA HOUSE BEER COMPANY LLC v. City of OKC 10037.001"
"0.1","BPL","2023-09-07","Utex Industries Inc. - Hammerless Torqueless Connection Patent 10158.002"
"0.6","AEZ","2024-12-19","Lagunita Franchise Operations, LLC - Defense of Inspire Brands 11135.002"
"0.2","DAC","2022-02-17","Bricktown Development Co, LLC - General 10487.000"
"0.9","JRJ","2024-03-14","VANESSA HOUSE BEER COMPANY LLC v. City of OKC 10037.001"
"0.7","JER","2020-04-09","Focus Office Furniture - General 10274.000"
"1.3","AEZ","2021-03-17","DeatschWerks LLC - Sourcetech v. DeatschWerks 10324.001"
"0.3","BPL","2024-09-04","Boomtown Beach Volleyball LLC - General 10987.000"
"1.4","RAW","2020-04-28","Prairie Oak Partners LLC - RJMoore Redemption 10279.001"
"1.3","AEZ","2023-08-14","Injectable Techniques, LLC dba Soul Aesthetics - Kimiko v Christianson et al 10801.001"
"0.2","AEZ","2021-05-25","Mar-K Specialized Mfg., Inc. - Bed Wood and Parts, LLC 10005.002"
"0.2","AEZ","2021-05-17","Sturgeon v. Radio & TV Experts, LLC 10007.001"
"0.5","RAW","2024-07-08","J&J HUDSON LLC - General 10729.000"
"2.5","JER","2021-03-12","Talbot Commons, LLC - Project Formation 10497.001"
"0.3","BPL","2022-11-02","Resistol Services - BMO-Jarrod Murray 10053.012"
"1.2","ERH","2024-03-11","MASSIE GROUP LLC - GI Hauling Acquisition 11056.001"
"0.4","BPL","2023-08-30","Jasco Products Company, LLC - Enbrighten 10038.041"
"0.2","BPL","2022-09-02","R L & B Energy, LLC - Erik Williams Termination 10710.001"
"0.2","AEZ","2021-06-23","Mar-K Specialized Mfg., Inc. - Bed Wood and Parts, LLC 10005.002"
"0.8","BPL","2020-10-21","Jasco Products Company, LLC - Landscape Lights Patent 10038.035"
"1.3","JRJ","2021-12-10","GeoX Energy Inc - GC2 10191.005"
"0.3","JRJ","2021-04-21","GeoX Energy Inc - General 10191.000"
"2.0","TGF","2023-08-16","Elk Valley Brewing LLC - General 10255.000"
"1.0","RAW","2023-10-03","1701 N Classen LLC 10202.000"
"0.2","AEZ","2023-05-31","Tribune Capital Real Estate Partners LLC - Sampson v. TCREP 10892.001"
"3.8","JRJ","2022-03-08","Patrick McKenzie Ministries Inc. - Lit DEF - Dept. of Education Suit 10608.001"
"1.0","AEZ","2020-10-27","Mar-K Specialized Mfg., Inc. - Bed Wood and Parts, LLC 10005.002"
"0.1","AEZ","2021-07-23","TRIBUNE CAPITAL MANAGEMENT LLC - Franklin v. Tribune 10431.001"
"0.3","BPL","2023-03-09","Jasco Products Company, LLC - General 10038.000"
"1.3","TRB","2022-01-19","Equity Brewing Company LLC - General 10327.000"
"0.2","ERH","2023-12-18","Tribune Capital LLC - Legacy Trail Opinion Letter 10116.017"
"2.3","JRJ","2024-06-11","Ascend Hospitality Group - GC2 10109.010"
"1.2","RAW","2022-09-15","Midtown Co LLC - General 10503.000"
"1.6","RAW","2024-09-19","J&J HUDSON LLC - General 10729.000"
"1.1","JLH","2023-09-09","ONETWOONETWO LLC - General 10133.000"
"0.8","RAW","2022-07-19","Boundless Hospitality LLC - General 10771.000"
"0.3","AEZ","2021-08-27","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"0.2","BPL","2021-08-18","Downtown Glass, Inc. - ONX Acquisition 10029.002"
"3.6","BPL","2022-05-19","DeatschWerks LLC - General 10324.000"
"3.0","TGF","2024-03-21","Oklahoma Chapter of FCA - General 10073.000"
"0.6","BPL","2022-12-02","Radio & TV Experts, LLC - Trademark Application 10007.004"
"0.2","BPL","2025-01-28","JPS Works, LLC - General 10825.000"
"0.1","AEZ","2019-10-16","Threet v. Thompson, et al. 10047.003"
"0.5","ERH","2020-12-22","Farm 405 LLC - Company Formation and Operating Agreement 10410.001"
"5.0","GNS","2025-02-11","Midwest Hose & Specialty, Inc. - Billboard Litigation 11171.001"
"0.2","ERH","2023-09-12","Legacy Cryogenic Transportation - General 10186.000"
"5.9","JRJ","2020-11-03","Allparts Music Corp. dba Walrus Audio - Synergy SLO trademark infringement litigation 10368.002"
"7.5","TRB","2020-11-16","Orange Leaf Holdings LLC - BRIX Acquisition 10025.015"
"0.2","AEZ","2021-08-20","Mar-K Specialized Mfg., Inc. - Bed Wood and Parts, LLC 10005.002"
"0.3","JER","2022-01-14","Compellier - GC2 General 10552.000"
"0.6","BPL","2024-03-04","84HG LLC - General 10597.000"
"0.2","TRB","2020-12-09","Last Brand, Inc. - General 10296.000"
"0.5","RAW","2024-11-20","OPERATIONREADYMIX LLC - Willoughby PSA 10742.004"
"0.3","RAW","2020-01-22","Wallace, Laurence - Employment Contract Negotiation 10199.001"
"0.4","DAC","2021-04-01","Bricktown Development Co, LLC - General 10487.000"
"1.3","DAC","2021-05-17","Tulsa DT Hotel Investment, LLC - Tulsa DoubleTree  Acquisition 10447.002"
"3.2","CNM","2022-03-02","Trans-Tel Central LLC - General 10693.000"
"2.3","CNM","2023-02-09","Silva Development, LLC - General 10863.000"
"1.4","TRB","2022-08-19","Last Brand, Inc. - General 10296.000"
"0.5","TRB","2020-09-21","PD-Rx Pharmaceuticals, Inc. - General 10081.000"
"1.4","TGF","2024-12-26","Foraker Company - Broadmoor Mall 10330.004"
"0.3","AEZ","2020-01-02","Moline Capital Partners, LLC - Cliper Trading Payment Dispute 10059.001"
"0.4","AEZ","2021-02-04","ICS v. Noles, Jade 10026.001"
"0.8","AEZ","2023-07-24","Compellier - Labor & Employment 10552.005"
"2.3","JRJ","2021-02-25","VANESSA HOUSE BEER COMPANY LLC - General 10037.000"
"0.2","JRJ","2024-02-01","Appraisal Shield - Utah Department of Commerce 10100.002"
"0.1","AEZ","2023-05-04","84HG LLC - General 10597.000"
"0.2","AEZ","2020-01-31","Strongpoint Auto Group - General GC2 10043.008"
"3.0","JRJ","2021-04-13","Lucerna Company, LLC - Trademarks - Word Mark and Logo 10286.001"
"0.3","ERH","2021-03-17","Brewer Family LLC - 115 Partners LLC Lease Dispute and Eviction 10486.001"
"8.6","JRJ","2022-01-03","Patrick McKenzie Ministries Inc. - Lit DEF - Dept. of Education Suit 10608.001"
"1.0","ERH","2024-11-22","Rapid Holdings LLC - General 11193.000"
"0.9","JRJ","2021-04-13","PROPTORO LLC - General 10416.000"
"4.3","JRJ","2020-12-29","BBN HOTEL INVESTMENTS LLC - Marriot Franchise 10399.002"
"1.6","JRJ","2021-06-02","Moore Primary Care Inc. - OHCA Audit Litigation 10070.001"
"0.5","CAJ","2025-01-10","Kent Bresee - Cassity 11189.002"
"0.8","RAW","2025-02-18","WD PICKLEBALL, LLC - General 11134.000"
"0.4","DAC","2021-09-24","PD-Rx Pharmaceuticals, Inc. - General 10081.000"
"0.5","DAC","2020-11-13","DiEnna, Christine - Employment Contract - SSM Employment Negotiation 2020 10048.004"
"0.7","JSM","2022-11-03","Donnie and Treasa Roper - General 10762.000"
"0.3","AEZ","2023-06-09","Littlepage Group LLC - General 10293.000"
"1.1","TRB","2021-06-21","Iced Tea LLC - Tower Theater 10143.001"
"2.6","DAC","2020-06-23","Dental Depot - Sub DSO Dentist Acquisitions 10046.003"
"0.3","AEZ","2023-12-04","DHP Commercial LLC - Zio's Breach of Contract 10163.002"
"0.8","RAW","2024-02-09","Ben Birdwell - Rezoning 11111.001"
"1.0","JER","2024-04-22","Wheeler Home - Employee Incentive 10883.011"
"1.6","JER","2020-12-15","Comma Insurance - General 10203.000"
"0.8","ERH","2024-09-13","FIRM 10000.001"
"1.2","DAC","2020-10-26","Foraker Company - Elk City 10330.001"
"0.8","CNM","2022-11-04","Austin, Matthew and Mary - General 10284.000"
"7.3","JRJ","2022-03-25","Hurst v. Knauf 10028.001"
"0.4","JER","2023-03-21","Micah and Amber Andrews - General 10881.000"
"0.9","TRB","2020-11-30","1701 N Classen LLC 10202.000"
"0.1","AEZ","2022-08-24","Den-Tex Central dba Denny's Restaurant - Discrimination Claim 10784.001"
"3.3","JSM","2023-05-18","HGC Holdings LLC - General 10730.000"
"0.8","WMJ","2024-01-02","AnnoLab, Inc - General 10962.000"
"2.7","JRJ","2020-01-15","Instinct Performance LLC - General 10211.000"
"0.1","AEZ","2022-06-20","UHS of Delaware, Inc., dba Horizon Mental Health Management, LLC - Karla Smith 10009.005"
"1.4","AEZ","2023-02-09","Compellier - Cemplex Group Texas v. Exxir Capital 10552.004"
"0.8","RAW","2020-01-27","Strongpoint Auto Group - General GC2 10043.008"
"0.3","TRB","2022-07-29","Last Brand, Inc. - General 10296.000"
"0.3","AEZ","2025-01-29","FIRM - RLG v GeoX Energy Inc 10000.004"
"0.3","ERH","2020-02-04","Flatt, Travis as POA of Wanda Peek - General 10222.000"
"1.0","JRJ","2020-07-28","Orange Leaf Holdings LLC - OSB Old School Bagel FDD 2020 10025.012"
"0.4","WMJ","2024-05-02","Victorum Capital - General 10965.000"
"0.5","RAW","2020-11-19","Orange Leaf Holdings LLC - General 10025.013"
"0.7","BPL","2021-12-10","HiVolt Energy LLC - Company Formation 10200.001"
"0.2","JRJ","2024-10-25","Jason Pack, M.D. - General 11133.000"
"1.0","JER","2019-10-01","Comma Insurance - Agency 3 10203.001"
"1.2","JRJ","2020-10-09","Hurst v. Knauf 10028.001"
"0.4","RAW","2021-09-23","Preserve at Covell HOA - General 10026.002"
"1.5","JRJ","2024-11-18","Ascend Hospitality Group - Workers Comp Lit 10109.013"
"0.8","JRJ","2021-10-18","Allparts Music Corp. dba Walrus Audio - General 10368.000"
"0.3","JSM","2022-11-21","Leon Gray - Amend Trust Documents 10817.001"
"0.5","AEZ","2024-12-16","First Security Bank - General 10248.000"
"2.2","WMJ","2024-10-02","Pigtracks - General 11052.000"
"2.4","JRJ","2020-08-06","Orange Leaf Holdings LLC - OSB Old School Bagel FDD 2020 10025.012"
"4.0","JER","2021-08-19","Integrity Testing, Inc. - GC2 10381.000"
"0.4","RAW","2020-08-04","Pivot Project Development LLC - WPA Development Partners 10027.001"
"1.9","TRB","2022-01-17","Pivot Project Development LLC - WPA Development Partners 10027.001"
"0.1","DAC","2020-05-05","Surexpress Transport LLC - LSO Final Mile Dispute 10234.001"
"0.5","RAW","2024-04-22","Noles Holdings - General 10312.000"
"0.3","BPL","2021-12-20","Jasco Products Company, LLC - General 10038.000"
"0.1","AEZ","2024-12-13","Durant Mobile  Park, LLC - Book and Mankin Fiduciary Claims 11028.001"
"0.5","CAJ","2025-02-12","WD ADVENTURE DISTRICT LLC - General 10901.000"
"0.3","BPL","2023-03-23","DeatschWerks LLC - General 10324.000"
"0.2","JRJ","2024-06-24","Allparts Music Corp. dba Walrus Audio - General Texas 10368.034"
"1.5","RAW","2020-01-30","OZMJC, LLC - Opportunity Zone 10273.001"
"2.4","JSM","2021-08-12","Iced Tea LLC - Tower Theater 10143.001"
"1.0","ERH","2024-04-10","Pivot Project Development LLC - PPD and PPM Member Buyout 10027.014"
"0.1","AEZ","2020-07-07","UHS of Delaware, Inc., dba Horizon Mental Health Management, LLC - Regina Gower - 20195045 10009.002"
"0.3","ERH","2020-11-19","Orange Leaf Holdings LLC - General 10025.013"
"1.2","ERH","2024-02-20","SUPBROTH LLC - General 10588.000"
"1.2","ERH","2022-11-10","WDCO NYC 001 LLC - General 10572.000"
"0.1","AEZ","2021-07-30","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"1.8","JRJ","2022-12-08","Allparts Music Corp. dba Walrus Audio - General 10368.000"
"7.9","JRJ","2021-12-28","Patrick McKenzie Ministries Inc. - Lit DEF - Dept. of Education Suit 10608.001"
"0.5","RAW","2021-09-22","WDCO NYC 001 LLC - General 10572.000"
"0.5","BPL","2023-12-18","amshot LLC - General 10132.000"
"0.7","JRJ","2021-05-17","Homestead Medical Clinic - General DO NOT BILL 10066.000"
"0.6","CNM","2022-08-03","Trans-Tel Central LLC - General 10693.000"
"1.2","JRJ","2022-12-14","Lil' Jay Child Development Center LLC - Dept Edu Lit 10628.001"
"1.2","JER","2019-11-08","Arcosa Specialty Materials - General 10065.000"
"0.4","AEZ","2022-03-14","Levy Strange Beffort, LLC, dba Newmark Robinson Park 10469.002"
"0.5","RAW","2024-10-03","J&J HUDSON LLC - Simmons Bank Litigation 10729.003"
"0.2","ERH","2020-11-03","Grace Harbor Church - Federal Tax Exemption Reinstatement 10400.001"
"0.8","JSM","2022-07-06","Foraker Company - Grove Civic Center 10330.005"
"1.2","ERH","2020-03-09","MTC Holsters LLC - CrossBreed 10106.001"
"0.1","AEZ","2022-05-11","Switchgrass Holding LLC - Rachel Hollis FRA-18-07797 10120.001"
"0.2","AEZ","2024-11-20","Lagunita Franchise Operations, LLC - Marco Smith claim 11135.001"
"1.0","ERH","2025-02-11","Tower Investment Holdings LLC - Company Formation 11219.001"
"0.2","AEZ","2020-03-18","A.R.K. Ramos Architectural Signage, LLC - Custom Ordered Products Terms and Conditions 10001.002"
"0.6","ERH","2024-05-29","ONEYETMANY LLC - Spiked Litigation 10094.014"
"2.8","TGF","2023-11-14","Downtown Glass, Inc. - General 10029.000"
"0.5","RAW","2025-01-21","Boomtown Beach Volleyball LLC - General 10987.000"
"0.2","AEZ","2021-01-21","DeatschWerks LLC - Sourcetech v. DeatschWerks 10324.001"
"0.6","AEZ","2025-01-27","Compellier - Labor & Employment 10552.005"
"0.3","RAW","2025-03-10","RG60Yards, LLC - General 10859.000"
"0.2","RAW","2021-09-29","Johnson, Stacy D. - Luxiere - General 10594.000"
"0.7","DAC","2022-01-04","CONSOLIDATED AMERICAN RESOURCES LLC - General 10654.000"
"0.3","BPL","2022-03-23","R L & B Energy, LLC - Erik Williams Termination 10710.001"
"1.9","KWD","2025-02-24","ZZZ Dunnington, Kevin 9971.001"
"0.2","ERH","2021-05-27","Bismarck Renaissance LLC - General 10259.002"
"2.9","TRB","2022-01-31","Clubby Seltzers, LLC - General 10567.000"
"1.3","ERH","2023-08-04","BMS Investments LLC - Company Formation 10935.001"
"1.4","ERH","2022-07-15","Hurst v. Knauf 10028.001"
"4.6","JRJ","2024-02-23","Ascend Hospitality Group - GC2 10109.010"
"0.2","JRJ","2022-11-30","OSB Café Franchisor LLC - General 10560.000"
"0.7","JRJ","2025-02-21","Ascend Hospitality Group - GC2 10109.010"
"2.9","DAC","2021-01-26","Tulsa DT Hotel Investment, LLC - Tulsa DoubleTree  Acquisition 10447.002"
"0.2","AEZ","2022-09-02","Last Brand, Inc. - General 10296.000"
"1.25","TGF","2023-10-31","New Files Holding 10000.000"
"1.5","JSM","2022-02-03","Preserve at Covell HOA - General 10026.002"
"0.8","ERH","2024-06-25","Tribune Capital LLC - General 10116.000"
"2.3","JER","2021-12-10","GFO COMPANIES LLC - Pasteur Flats OZ Fund 10610.001"
"3.1","TGF","2024-11-05","Dodson, Sellers, Wanzer - Chad Ford Litigation 11130.001"
"0.6","JSM","2023-02-23","Quick-Mincey Development Corporation II - General 10857.000"
"0.6","JER","2022-12-08","MSA Investors, LLC - General 10802.000"
"0.8","ERH","2024-08-12","Dugan, Drew and Hilary -  Estate Plan 10409.001"
"0.7","JER","2019-11-07","Western Flyer Express LL - Rodney Timms Redemption 10125.001"
"0.2","AEZ","2022-02-18","Peterson v. Brauchie 10620.001"
"1.2","BPL","2023-04-10","Jasco Products Company, LLC - Spindle Light Design Patent 10038.040"
"1.08","TGF","2023-11-16","Windmill Mini Storage LP - Property Sale 10954.001"
"1.0","JER","2024-10-10","Lietz, Marsha and Al - Lietz, Marsha and Al - Revision of Trust Agreement 11175.001"
"0.8","RAW","2020-04-15","WDCO BROADWAY LLC - Arsenault Purchase 10172.001"
"0.5","AEZ","2021-01-11","Tribune Capital Partners LLC - Cael v Tribune 10436.001"
"0.9","RAW","2020-10-27","ONEYETMANY LLC - Ujimaworks Lease 10094.009"
"1.5","AEZ","2020-04-13","A.R.K. Ramos Architectural Signage, LLC - General 10001.000"
"0.1","AEZ","2022-05-24","UHS of Delaware, Inc., dba Horizon Mental Health Management, LLC - Karla Smith 10009.005"
